year,trading_days,strategy_return,benchmark_return,excess_return
2012,150,-0.0006528403804759719,-0.0172028727505511,0.01655003237007513
2013,238,-0.17422743565406618,-0.058637083993660966,-0.11559035166040521
2014,245,0.5859717426036135,0.5372985893150897,0.04867315328852384
2015,244,0.10614460149627103,0.06801851336463915,0.038126088131631874
2016,244,-0.16406247134314045,-0.09686562903164198,-0.06719684231149847
2017,244,0.08284927216066995,0.23368087754307387,-0.15083160538240392
2018,243,-0.02477097103381609,-0.24164182716177474,0.21687085612795864
2019,244,0.07153238205441315,0.38593570936236654,-0.3144033273079534
2020,243,0.1421465105879116,0.2907714843749989,-0.14862497378708728
2021,243,-0.12862852222616594,-0.04040009838327496,-0.08822842384289098
2022,242,-0.0671082069205674,-0.20132014717873947,0.13421194025817207
2023,242,-0.013046107308731125,-0.09775224647250813,0.084706139163777
2024,242,-0.07741982841412853,0.17374101990322144,-0.25116084831734997
2025,243,0.11280088525953436,0.2083881887324619,-0.09558730347292754
