transaction_cost,transaction_cost_bps,in_annual_return,in_annual_volatility,in_sharpe,in_max_drawdown,in_total_turnover,in_total_cost,out_annual_return,out_annual_volatility,out_sharpe,out_max_drawdown,out_total_turnover,out_total_cost
0.0,0,0.06075150166740606,0.17468993327721163,0.4255187368250793,-0.41195984306223055,43.0,0.0,-0.034097065657641035,0.11951942667695115,-0.22990095798507545,-0.39942722489743243,27.0,0.0
0.0005,5,0.05801179959864555,0.17469304270650726,0.41070715304224376,-0.41547291806675746,43.0,0.021500000000000002,-0.036817230259809874,0.11961903657758767,-0.2531750986331017,-0.40663036217431003,27.0,0.013500000000000002
0.001,10,0.055277808300604026,0.17470340534140186,0.3958796600056129,-0.4189667446648686,43.0,0.043000000000000003,-0.03953109627145601,0.11973003439654788,-0.27638421924608403,-0.41375066631348933,27.0,0.027000000000000003
0.002,20,0.04982692180596615,0.1747458841633255,0.3661843595284349,-0.42589703590542727,43.0,0.08600000000000001,-0.044939978221594234,0.11998606412892489,-0.3225820743777913,-0.42774641188907525,27.0,0.054000000000000006
