period,start_date,end_date,rows,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,buy_count,sell_count,complete_trade_count,average_position,days_in_market,total_turnover,annualized_turnover,total_transaction_cost
full_sample,2012-05-28,2025-12-31,3307,0.019490528681980646,0.15682057516957942,0.20205431133623045,-0.48028714013134133,0.0638118455195329,0.2231896268524887,0.38919968919491,-0.45441950425086086,35,35,35,0.5246446930752948,1735,70.0,5.334139703658906,0.07
in_sample,2012-05-28,2020-12-31,2095,0.055277808300604026,0.17470340534140186,0.3958796600056129,-0.4189667446648686,0.10514937607582953,0.24390369478024268,0.532569285324848,-0.45441950425086086,22,21,21,0.5570405727923627,1167,43.0,5.172315035799523,0.043000000000000003
out_of_sample,2021-01-04,2025-12-31,1212,-0.03953109627145601,0.11973003439654788,-0.27638421924608403,-0.41375066631348933,-0.004028971954706195,0.18190613802862154,0.06863666142317029,-0.42182466348396597,13,14,13,0.46864686468646866,568,27.0,5.6138613861386135,0.027000000000000003
