short_window,long_window,transaction_cost,transaction_cost_bps,in_annual_return,in_annual_volatility,in_sharpe,in_max_drawdown,in_average_position,in_total_turnover,in_annualized_turnover,out_annual_return,out_annual_volatility,out_sharpe,out_max_drawdown,out_average_position,out_total_turnover,out_annualized_turnover
10,40,0.001,10,0.08390552708424082,0.1695876308060022,0.5604222463182715,-0.2956122499949577,0.5661097852028639,63.0,7.578042959427208,0.021194282857601054,0.12389465680751585,0.2310727263894456,-0.19068530199497435,0.4504950495049505,36.0,7.485148514851486
20,60,0.001,10,0.055277808300604026,0.17470340534140186,0.3958796600056129,-0.4189667446648686,0.5570405727923627,43.0,5.172315035799523,-0.03953109627145601,0.11973003439654788,-0.27638421924608403,-0.41375066631348933,0.46864686468646866,27.0,5.6138613861386135
30,90,0.001,10,0.10813592815897977,0.18701219579604042,0.6429521086357122,-0.3798362122699054,0.5804295942720764,21.0,2.5260143198090694,-0.03975868579436226,0.11620648763788653,-0.29078622014771055,-0.41619737962379444,0.4735973597359736,18.0,3.742574257425743
50,120,0.001,10,0.07156112295171524,0.1910297014816811,0.45793481506821104,-0.4319550652062195,0.6004773269689737,13.0,1.5637231503579951,-0.001760856118295906,0.10359411685903672,0.03477230613514999,-0.30006170147138833,0.4158415841584158,12.0,2.495049504950495
